Quantity
608503608
732151200
785891643
700010950
945597070
685767922
734947394
696920173
720553814
1203811109
763417901
1218207854
1030307293
836931689
991380714
704952249
728920715
718879602
445102298
629600196
787205878
851504059
1011869826
1171238372
823901699
915036338
959715522
938158436
757799337
1039276133
987018673
985942346
863347471
754092857
1493823396
1156219155
972058634
953029517
882558990
907738059
776336332
927772273
838184157
1012065773
983838331
938225604
1027814067
1012554536
951750430
687572136
769868752
702926724
667275947
578158621
549914800
448456824
578622837
606918288
577692397
464503792
550317766
400205546
520501167
643877700
463780445
344083213
409450833
364558378
390257585
445143700
721779431
480103716
421476883
407799982
302668559
327037080
319279915
389335040
419580147
591716954
638405299
